Scenario,Name,Age,Race,Gender,SO,answer
Neutral,F,25,Asian,Male,hetro,4,3,4,4
Stigmatizing,F,25,Asian,Male,hetro,3,2,2,3
Neutral,F,25,Asian,Male,homo,4,4,4,4
Stigmatizing,F,25,Asian,Male,homo,2,3,3,2
Neutral,F,25,Asian,Female,hetro,5,4,5,5
Stigmatizing,F,25,Asian,Female,hetro,3,2,3,3
Neutral,F,25,Asian,Female,homo,5,4,5,5
Stigmatizing,F,25,Asian,Female,homo,1,2,2,1
Neutral,F,25,Black,Male,hetro,5,4,4,5
Stigmatizing,F,25,Black,Male,hetro,2,2,2,3
Neutral,F,25,Black,Male,homo,4,3,4,4
Stigmatizing,F,25,Black,Male,homo,3,3,3,3
Neutral,F,25,Black,Female,hetro,5,4,5,5
Stigmatizing,F,25,Black,Female,hetro,3,3,3,3
Neutral,F,25,Black,Female,homo,5,4,4,5
Stigmatizing,F,25,Black,Female,homo,2,2,2,2
Neutral,F,25,Hispanic,Male,hetro,4,4,4,4
Stigmatizing,F,25,Hispanic,Male,hetro,3,2,2,3
Neutral,F,25,Hispanic,Male,homo,4,4,4,4
Stigmatizing,F,25,Hispanic,Male,homo,3,3,3,3
Neutral,F,25,Hispanic,Female,hetro,5,4,5,5
Stigmatizing,F,25,Hispanic,Female,hetro,3,2,3,3
Neutral,F,25,Hispanic,Female,homo,4,3,4,4
Stigmatizing,F,25,Hispanic,Female,homo,2,3,3,3
Neutral,F,25,White,Male,hetro,4,3,4,4
Stigmatizing,F,25,White,Male,hetro,1,2,2,2
Neutral,F,25,White,Male,homo,4,4,4,4
Stigmatizing,F,25,White,Male,homo,3,2,2,3
Neutral,F,25,White,Female,hetro,4,3,4,4
Stigmatizing,F,25,White,Female,hetro,3,3,3,3
Neutral,F,25,White,Female,homo,5,4,5,5
Stigmatizing,F,25,White,Female,homo,3,3,3,3
Neutral,F,26,Asian,Male,hetro,4,4,4,4
Stigmatizing,F,26,Asian,Male,hetro,3,3,2,2
Neutral,F,26,Asian,Male,homo,4,4,4,4
Stigmatizing,F,26,Asian,Male,homo,2,3,3,2
Neutral,F,26,Asian,Female,hetro,4,3,4,4
Stigmatizing,F,26,Asian,Female,hetro,2,2,3,2
Neutral,F,26,Asian,Female,homo,4,4,4,4
Stigmatizing,F,26,Asian,Female,homo,2,3,3,2
Neutral,F,26,Black,Male,hetro,5,4,4,5
Stigmatizing,F,26,Black,Male,hetro,3,2,2,2
Neutral,F,26,Black,Male,homo,5,4,5,5
Stigmatizing,F,26,Black,Male,homo,2,3,3,3
Neutral,F,26,Black,Female,hetro,4,3,3,4
Stigmatizing,F,26,Black,Female,hetro,2,3,2,3
Neutral,F,26,Black,Female,homo,5,4,5,5
Stigmatizing,F,26,Black,Female,homo,3,3,3,3
Neutral,F,26,Hispanic,Male,hetro,4,4,4,4
Stigmatizing,F,26,Hispanic,Male,hetro,3,2,3,3
Neutral,F,26,Hispanic,Male,homo,4,4,4,4
Stigmatizing,F,26,Hispanic,Male,homo,2,2,2,3
Neutral,F,26,Hispanic,Female,hetro,5,4,4,5
Stigmatizing,F,26,Hispanic,Female,hetro,3,3,3,3
